date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:08:50	396/396	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2018%20Feb%202020%2014:38:50%20GMT	https://themesbrand.com/skote/layouts/vertical/assets/fonts/boxicons.woff	/home/nivya/websites/template1/themesbrand.com/skote/layouts/vertical/assets/fonts/boxicons.woff	(from https://themesbrand.com/skote/layouts/vertical/assets/css/icons.min.css)
20:08:52	129734/129734	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221fac6-59c4e9d7bdb53%22	https://themesbrand.com/skote/layouts/vertical/assets/fonts/fa-brands-400.eot	/home/nivya/websites/template1/themesbrand.com/skote/layouts/vertical/assets/fonts/fa-brands-400.eot	(from https://themesbrand.com/skote/layouts/vertical/assets/css/icons.min.css)
20:08:53	129734/129734	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221fac6-59c4e9d7bdb53%22	https://themesbrand.com/skote/layouts/vertical/assets/fonts/fa-brands-400.eot?	/home/nivya/websites/template1/themesbrand.com/skote/layouts/vertical/assets/fonts/fa-brands-400d41d.eot	(from https://themesbrand.com/skote/layouts/vertical/assets/css/icons.min.css)
20:08:54	74680/74680	---M--	200	added ('OK')	text/html	etag:%22123b8-59c4e9d7c19d4%22	https://themesbrand.com/skote/layouts/vertical/assets/fonts/fa-brands-400.woff2	/home/nivya/websites/template1/themesbrand.com/skote/layouts/vertical/assets/fonts/fa-brands-400.html	(from https://themesbrand.com/skote/layouts/vertical/assets/css/icons.min.css)
20:08:54	744380/744380	---M--	200	added ('OK')	image/svg+xml	etag:%22b5bbc-59c4e9d7bbc13%22	https://themesbrand.com/skote/layouts/vertical/assets/fonts/boxicons.svg?	/home/nivya/websites/template1/themesbrand.com/skote/layouts/vertical/assets/fonts/boxiconsd41d.svg	(from https://themesbrand.com/skote/layouts/vertical/assets/css/icons.min.css)
20:08:55	87644/87644	---M--	200	added ('OK')	application/font-woff	etag:%221565c-59c4e9d7c19d4%22	https://themesbrand.com/skote/layouts/vertical/assets/fonts/fa-brands-400.woff	/home/nivya/websites/template1/themesbrand.com/skote/layouts/vertical/assets/fonts/fa-brands-400.woff	(from https://themesbrand.com/skote/layouts/vertical/assets/css/icons.min.css)
20:08:56	129428/129428	---M--	200	added ('OK')	application/font-sfnt	etag:%221f994-59c4e9d7bfa94%22	https://themesbrand.com/skote/layouts/vertical/assets/fonts/fa-brands-400.ttf	/home/nivya/websites/template1/themesbrand.com/skote/layouts/vertical/assets/fonts/fa-brands-400.ttf	(from https://themesbrand.com/skote/layouts/vertical/assets/css/icons.min.css)
20:08:57	396/396	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2018%20Feb%202020%2014:38:52%20GMT	https://themesbrand.com/skote/layouts/vertical/assets/fonts/boxicons.ttf	/home/nivya/websites/template1/themesbrand.com/skote/layouts/vertical/assets/fonts/boxicons.ttf	(from https://themesbrand.com/skote/layouts/vertical/assets/css/icons.min.css)
20:09:03	691790/691790	---M--	200	added ('OK')	image/svg+xml	etag:%22a8e4e-59c4e9d7bfa94%22	https://themesbrand.com/skote/layouts/vertical/assets/fonts/fa-brands-400.svg	/home/nivya/websites/template1/themesbrand.com/skote/layouts/vertical/assets/fonts/fa-brands-400.svg	(from https://themesbrand.com/skote/layouts/vertical/assets/css/icons.min.css)
20:09:03	34394/34394	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22865a-59c4e9d7c19d4%22	https://themesbrand.com/skote/layouts/vertical/assets/fonts/fa-regular-400.eot	/home/nivya/websites/template1/themesbrand.com/skote/layouts/vertical/assets/fonts/fa-regular-400.eot	(from https://themesbrand.com/skote/layouts/vertical/assets/css/icons.min.css)
20:09:04	34394/34394	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22865a-59c4e9d7c19d4%22	https://themesbrand.com/skote/layouts/vertical/assets/fonts/fa-regular-400.eot?	/home/nivya/websites/template1/themesbrand.com/skote/layouts/vertical/assets/fonts/fa-regular-400d41d.eot	(from https://themesbrand.com/skote/layouts/vertical/assets/css/icons.min.css)
